Nov27_1212_comp
----------------------------------------------------------------------------------------------------
[Twitter]   init=ones (20)   seed=42   batch_size=64 spectral_dim=300
File1: twitter_10000bins_modiffT  File1: twitter_10000bins_modiffT
----------------------------------------------------------------------------------------------------
lr=0.002 schedule=True ema=0.999 epochs=200 reduce=False eps=1e-05
(ScoreNetworkX)+(ScoreNetworkA_eigen=GCN,4)   : depth=2 adim=32 nhid=32 layers=6 linears=2 c=(2 8 4)
(x:VP)=(0.10, 20.00) N=1000 (adj:VP)=(0.10, 20.00) N=1000
----------------------------------------------------------------------------------------------------
115 | 6.25s | test x: 3.090e+01 | test adj: 1.319e+02 | train x: 1.319e+01 | train adj: 1.392e+02 | 
116 | 6.15s | test x: 3.254e+01 | test adj: 1.305e+02 | train x: 1.372e+01 | train adj: 1.393e+02 | 
117 | 6.24s | test x: 2.082e+01 | test adj: 1.312e+02 | train x: 1.353e+01 | train adj: 1.399e+02 | 
118 | 6.15s | test x: 2.201e+01 | test adj: 1.331e+02 | train x: 1.361e+01 | train adj: 1.387e+02 | 
119 | 6.17s | test x: 2.788e+01 | test adj: 1.325e+02 | train x: 1.416e+01 | train adj: 1.399e+02 | 
120 | 6.20s | test x: 2.961e+01 | test adj: 1.306e+02 | train x: 1.392e+01 | train adj: 1.398e+02 | 
121 | 6.23s | test x: 2.527e+01 | test adj: 1.296e+02 | train x: 1.303e+01 | train adj: 1.395e+02 | 
122 | 6.33s | test x: 1.656e+01 | test adj: 1.309e+02 | train x: 1.510e+01 | train adj: 1.391e+02 | 
123 | 6.17s | test x: 2.219e+01 | test adj: 1.336e+02 | train x: 1.491e+01 | train adj: 1.399e+02 | 
124 | 6.10s | test x: 2.711e+01 | test adj: 1.310e+02 | train x: 1.367e+01 | train adj: 1.392e+02 | 
125 | 6.17s | test x: 2.273e+01 | test adj: 1.281e+02 | train x: 1.365e+01 | train adj: 1.399e+02 | 
126 | 6.29s | test x: 3.046e+01 | test adj: 1.331e+02 | train x: 1.579e+01 | train adj: 1.387e+02 | 
127 | 6.28s | test x: 1.704e+01 | test adj: 1.318e+02 | train x: 1.502e+01 | train adj: 1.391e+02 | 
128 | 6.27s | test x: 2.638e+01 | test adj: 1.321e+02 | train x: 1.563e+01 | train adj: 1.393e+02 | 
129 | 6.27s | test x: 3.036e+01 | test adj: 1.316e+02 | train x: 1.498e+01 | train adj: 1.397e+02 | 
